 0.16 0.6800000000000004 0.0 0.0
 0.16 0.6900000000000004 0.0 0.0
 0.16 0.7000000000000004 0.0 0.0
 0.16 0.7100000000000004 0.0 0.0
 0.16 0.7200000000000004 0.0 0.0
 0.16 0.7300000000000004 0.0 0.0
 0.16 0.7400000000000004 0.0 0.0
 0.16 0.7500000000000004 0.0 0.0
 0.16 0.7600000000000005 0.0 0.0
 0.16 0.7700000000000005 0.0 0.0
 0.16 0.7800000000000005 0.0 0.0
 0.16 0.7900000000000005 0.0 0.0
 0.16 0.8000000000000005 0.0 0.0
 0.16 0.8100000000000005 0.0 0.0
 0.16 0.8200000000000005 0.0 0.0
 0.16 0.8300000000000005 0.0 0.0
 0.16 0.8400000000000005 0.0 0.0
 0.16 0.8500000000000005 0.0 0.0
 0.16 0.8600000000000005 0.0 0.0
 0.16 0.8700000000000006 0.0 0.0
 0.16 0.8800000000000006 0.0 0.0
 0.16 0.8900000000000006 0.0 0.0
 0.16 0.9000000000000006 0.0 0.0
 0.16 0.9100000000000006 0.0 0.0
 0.16 0.9200000000000006 0.0 0.0
 0.16 0.9300000000000006 0.0 0.0
 0.16 0.9400000000000006 0.0 0.0
 0.16 0.9500000000000006 0.0 0.0
 0.16 0.9600000000000006 0.0 0.0
 0.16 0.9700000000000006 0.0 0.0
 0.16 0.9800000000000006 0.0 0.0
 0.16 0.9900000000000007 0.0 0.0
 0.16 1.0000000000000007 0.0 0.0

 0.17 0.0 0.0 0.0
 0.17 0.01 0.0 0.0
 0.17 0.02 0.0 0.0
 0.17 0.03 0.0 0.0
 0.17 0.04 0.0 0.0
 0.17 0.05 0.0 0.0
 0.17 0.060000000000000005 0.0 0.0
 0.17 0.07 0.0 0.0
 0.17 0.08 0.0 0.0
 0.17 0.09 0.0 0.0
 0.17 0.09999999999999999 0.0 0.0
 0.17 0.10999999999999999 0.0 0.0
 0.17 0.11999999999999998 0.0 0.0
 0.17 0.12999999999999998 0.0 0.0
 0.17 0.13999999999999999 0.0 0.0
 0.17 0.15 0.0 0.0
 0.17 0.16 0.0 0.0
 0.17 0.17 0.0 0.0
 0.17 0.18000000000000002 0.0 0.0
 0.17 0.19000000000000003 0.0 0.0
 0.17 0.20000000000000004 0.0 0.0
 0.17 0.21000000000000005 0.0 0.0
 0.17 0.22000000000000006 0.0 0.0
 0.17 0.23000000000000007 0.0 0.0
 0.17 0.24000000000000007 0.0 0.0
 0.17 0.25000000000000006 0.0 0.0
 0.17 0.26000000000000006 0.0 0.0
 0.17 0.2700000000000001 0.0 0.0
 0.17 0.2800000000000001 0.0 0.0
 0.17 0.2900000000000001 0.0 0.0
 0.17 0.3000000000000001 0.0 0.0
 0.17 0.3100000000000001 0.0 0.0
 0.17 0.3200000000000001 0.0 0.0
 0.17 0.3300000000000001 0.0 0.0
 0.17 0.34000000000000014 0.0 0.0
 0.17 0.35000000000000014 0.0 0.0
 0.17 0.36000000000000015 0.0 0.0
 0.17 0.37000000000000016 0.0 0.0
 0.17 0.38000000000000017 0.0 0.0
 0.17 0.3900000000000002 0.0 0.0
 0.17 0.4000000000000002 0.0 0.0
 0.17 0.4100000000000002 0.0 0.0
 0.17 0.4200000000000002 0.0 0.0
 0.17 0.4300000000000002 0.0 0.0
 0.17 0.4400000000000002 0.0 0.0
 0.17 0.45000000000000023 0.0 0.0
 0.17 0.46000000000000024 0.0 0.0
 0.17 0.47000000000000025 0.0 0.0
 0.17 0.48000000000000026 0.0 0.0
 0.17 0.49000000000000027 0.0 0.0
 0.17 0.5000000000000002 0.0 0.0
 0.17 0.5100000000000002 0.0 0.0
 0.17 0.5200000000000002 0.0 0.0
 0.17 0.5300000000000002 0.0 0.0
 0.17 0.5400000000000003 0.0 0.0
 0.17 0.5500000000000003 0.0 0.0
 0.17 0.5600000000000003 0.0 0.0
 0.17 0.5700000000000003 0.0 0.0
 0.17 0.5800000000000003 0.0 0.0
 0.17 0.5900000000000003 0.0 0.0
 0.17 0.6000000000000003 0.0 0.0
 0.17 0.6100000000000003 0.0 0.0
 0.17 0.6200000000000003 0.0 0.0
 0.17 0.6300000000000003 0.0 0.0
 0.17 0.6400000000000003 0.0 0.0
 0.17 0.6500000000000004 0.0 0.0
 0.17 0.6600000000000004 0.0 0.0
 0.17 0.6700000000000004 0.0 0.0
 0.17 0.6800000000000004 0.0 0.0
 0.17 0.6900000000000004 0.0 0.0
 0.17 0.7000000000000004 0.0 0.0
 0.17 0.7100000000000004 0.0 0.0
 0.17 0.7200000000000004 0.0 0.0
 0.17 0.7300000000000004 0.0 0.0
 0.17 0.7400000000000004 0.0 0.0
 0.17 0.7500000000000004 0.0 0.0
 0.17 0.7600000000000005 0.0 0.0
 0.17 0.7700000000000005 0.0 0.0
 0.17 0.7800000000000005 0.0 0.0
 0.17 0.7900000000000005 0.0 0.0
 0.17 0.8000000000000005 0.0 0.0
 0.17 0.8100000000000005 0.0 0.0
 0.17 0.8200000000000005 0.0 0.0
 0.17 0.8300000000000005 0.0 0.0
 0.17 0.8400000000000005 0.0 0.0
 0.17 0.8500000000000005 0.0 0.0
 0.17 0.8600000000000005 0.0 0.0
 0.17 0.8700000000000006 0.0 0.0
 0.17 0.8800000000000006 0.0 0.0
 0.17 0.8900000000000006 0.0 0.0
 0.17 0.9000000000000006 0.0 0.0
 0.17 0.9100000000000006 0.0 0.0
 0.17 0.9200000000000006 0.0 0.0
 0.17 0.9300000000000006 0.0 0.0
 0.17 0.9400000000000006 0.0 0.0
 0.17 0.9500000000000006 0.0 0.0
 0.17 0.9600000000000006 0.0 0.0
 0.17 0.9700000000000006 0.0 0.0
 0.17 0.9800000000000006 0.0 0.0
 0.17 0.9900000000000007 0.0 0.0
 0.17 1.0000000000000007 0.0 0.0

 0.18000000000000002 0.0 0.0 0.0
 0.18000000000000002 0.01 0.0 0.0
 0.18000000000000002 0.02 0.0 0.0
 0.18000000000000002 0.03 0.0 0.0
 0.18000000000000002 0.04 0.0 0.0
 0.18000000000000002 0.05 0.0 0.0
 0.18000000000000002 0.060000000000000005 0.0 0.0
 0.18000000000000002 0.07 0.0 0.0
 0.18000000000000002 0.08 0.0 0.0
 0.18000000000000002 0.09 0.0 0.0
 0.18000000000000002 0.09999999999999999 0.0 0.0
 0.18000000000000002 0.10999999999999999 0.0 0.0
 0.18000000000000002 0.11999999999999998 0.0 0.0
 0.18000000000000002 0.12999999999999998 0.0 0.0
 0.18000000000000002 0.13999999999999999 0.0 0.0
 0.18000000000000002 0.15 0.0 0.0
 0.18000000000000002 0.16 0.0 0.0
 0.18000000000000002 0.17 0.0 0.0
 0.18000000000000002 0.18000000000000002 0.0 0.0
 0.18000000000000002 0.19000000000000003 0.0 0.0
 0.18000000000000002 0.20000000000000004 0.0 0.0
 0.18000000000000002 0.21000000000000005 0.0 0.0
 0.18000000000000002 0.22000000000000006 0.0 0.0
 0.18000000000000002 0.23000000000000007 0.0 0.0
 0.18000000000000002 0.24000000000000007 0.0 0.0
 0.18000000000000002 0.25000000000000006 0.0 0.0
 0.18000000000000002 0.26000000000000006 0.0 0.0
 0.18000000000000002 0.2700000000000001 0.0 0.0
 0.18000000000000002 0.2800000000000001 0.0 0.0
 0.18000000000000002 0.2900000000000001 0.0 0.0
 0.18000000000000002 0.3000000000000001 0.0 0.0
 0.18000000000000002 0.3100000000000001 0.0 0.0
 0.18000000000000002 0.3200000000000001 0.0 0.0
 0.18000000000000002 0.3300000000000001 0.0 0.0
 0.18000000000000002 0.34000000000000014 0.0 0.0
 0.18000000000000002 0.35000000000000014 0.0 0.0
 0.18000000000000002 0.36000000000000015 0.0 0.0
 0.18000000000000002 0.37000000000000016 0.0 0.0
 0.18000000000000002 0.38000000000000017 0.0 0.0
 0.18000000000000002 0.3900000000000002 0.0 0.0
 0.18000000000000002 0.4000000000000002 0.0 0.0
 0.18000000000000002 0.4100000000000002 0.0 0.0
 0.18000000000000002 0.4200000000000002 0.0 0.0
 0.18000000000000002 0.4300000000000002 0.0 0.0
 0.18000000000000002 0.4400000000000002 0.0 0.0
 0.18000000000000002 0.45000000000000023 0.0 0.0
 0.18000000000000002 0.46000000000000024 0.0 0.0
 0.18000000000000002 0.47000000000000025 0.0 0.0
 0.18000000000000002 0.48000000000000026 0.0 0.0
 0.18000000000000002 0.49000000000000027 0.0 0.0
 0.18000000000000002 0.5000000000000002 0.0 0.0
 0.18000000000000002 0.5100000000000002 0.0 0.0
 0.18000000000000002 0.5200000000000002 0.0 0.0
 0.18000000000000002 0.5300000000000002 0.0 0.0
 0.18000000000000002 0.5400000000000003 0.0 0.0
 0.18000000000000002 0.5500000000000003 0.0 0.0
 0.18000000000000002 0.5600000000000003 0.0 0.0
 0.18000000000000002 0.5700000000000003 0.0 0.0
 0.18000000000000002 0.5800000000000003 0.0 0.0
 0.18000000000000002 0.5900000000000003 0.0 0.0
 0.18000000000000002 0.6000000000000003 0.0 0.0
 0.18000000000000002 0.6100000000000003 0.0 0.0
 0.18000000000000002 0.6200000000000003 0.0 0.0
 0.18000000000000002 0.6300000000000003 0.0 0.0
 0.18000000000000002 0.6400000000000003 0.0 0.0
 0.18000000000000002 0.6500000000000004 0.0 0.0
 0.18000000000000002 0.6600000000000004 0.0 0.0
 0.18000000000000002 0.6700000000000004 0.0 0.0
 0.18000000000000002 0.6800000000000004 0.0 0.0
 0.18000000000000002 0.6900000000000004 0.0 0.0
 0.18000000000000002 0.7000000000000004 0.0 0.0
 0.18000000000000002 0.7100000000000004 0.0 0.0
 0.18000000000000002 0.7200000000000004 0.0 0.0
 0.18000000000000002 0.7300000000000004 0.0 0.0
 0.18000000000000002 0.7400000000000004 0.0 0.0
 0.18000000000000002 0.7500000000000004 0.0 0.0
 0.18000000000000002 0.7600000000000005 0.0 0.0
 0.18000000000000002 0.7700000000000005 0.0 0.0
 0.18000000000000002 0.7800000000000005 0.0 0.0
 0.18000000000000002 0.7900000000000005 0.0 0.0
 0.18000000000000002 0.8000000000000005 0.0 0.0
 0.18000000000000002 0.8100000000000005 0.0 0.0
 0.18000000000000002 0.8200000000000005 0.0 0.0
 0.18000000000000002 0.8300000000000005 0.0 0.0
 0.18000000000000002 0.8400000000000005 0.0 0.0
 0.18000000000000002 0.8500000000000005 0.0 0.0
 0.18000000000000002 0.8600000000000005 0.0 0.0
 0.18000000000000002 0.8700000000000006 0.0 0.0
 0.18000000000000002 0.8800000000000006 0.0 0.0
 0.18000000000000002 0.8900000000000006 0.0 0.0
 0.18000000000000002 0.9000000000000006 0.0 0.0
 0.18000000000000002 0.9100000000000006 0.0 0.0
 0.18000000000000002 0.9200000000000006 0.0 0.0
 0.18000000000000002 0.9300000000000006 0.0 0.0
 0.18000000000000002 0.9400000000000006 0.0 0.0
 0.18000000000000002 0.9500000000000006 0.0 0.0
 0.18000000000000002 0.9600000000000006 0.0 0.0
 0.18000000000000002 0.9700000000000006 0.0 0.0
 0.18000000000000002 0.9800000000000006 0.0 0.0
 0.18000000000000002 0.9900000000000007 0.0 0.0
 0.18000000000000002 1.0000000000000007 0.0 0.0

 0.19000000000000003 0.0 0.0 0.0
 0.19000000000000003 0.01 0.0 0.0
 0.19000000000000003 0.02 0.0 0.0
 0.19000000000000003 0.03 0.0 0.0
 0.19000000000000003 0.04 0.0 0.0
 0.19000000000000003 0.05 0.0 0.0
 0.19000000000000003 0.060000000000000005 0.0 0.0
 0.19000000000000003 0.07 0.0 0.0
 0.19000000000000003 0.08 0.0 0.0
 0.19000000000000003 0.09 0.0 0.0
 0.19000000000000003 0.09999999999999999 0.0 0.0
 0.19000000000000003 0.10999999999999999 0.0 0.0
 0.19000000000000003 0.11999999999999998 0.0 0.0
 0.19000000000000003 0.12999999999999998 0.0 0.0
 0.19000000000000003 0.13999999999999999 0.0 0.0
 0.19000000000000003 0.15 0.0 0.0
 0.19000000000000003 0.16 0.0 0.0
 0.19000000000000003 0.17 0.0 0.0
 0.19000000000000003 0.18000000000000002 0.0 0.0
 0.19000000000000003 0.19000000000000003 0.0 0.0
 0.19000000000000003 0.20000000000000004 0.0 0.0
 0.19000000000000003 0.21000000000000005 0.0 0.0
 0.19000000000000003 0.22000000000000006 0.0 0.0
 0.19000000000000003 0.23000000000000007 0.0 0.0
 0.19000000000000003 0.24000000000000007 0.0 0.0
 0.19000000000000003 0.25000000000000006 0.0 0.0
 0.19000000000000003 0.26000000000000006 0.0 0.0
 0.19000000000000003 0.2700000000000001 0.0 0.0
 0.19000000000000003 0.2800000000000001 0.0 0.0
 0.19000000000000003 0.2900000000000001 0.0 0.0
 0.19000000000000003 0.3000000000000001 0.0 0.0
 0.19000000000000003 0.3100000000000001 0.0 0.0
 0.19000000000000003 0.3200000000000001 0.0 0.0
 0.19000000000000003 0.3300000000000001 0.0 0.0
 0.19000000000000003 0.34000000000000014 0.0 0.0
 0.19000000000000003 0.35000000000000014 0.0 0.0
 0.19000000000000003 0.36000000000000015 0.0 0.0
 0.19000000000000003 0.37000000000000016 0.0 0.0
 0.19000000000000003 0.38000000000000017 0.0 0.0
 0.19000000000000003 0.3900000000000002 0.0 0.0
 0.19000000000000003 0.4000000000000002 0.0 0.0
 0.19000000000000003 0.4100000000000002 0.0 0.0
 0.19000000000000003 0.4200000000000002 0.0 0.0
 0.19000000000000003 0.4300000000000002 0.0 0.0
 0.19000000000000003 0.4400000000000002 0.0 0.0
 0.19000000000000003 0.45000000000000023 0.0 0.0
 0.19000000000000003 0.46000000000000024 0.0 0.0
 0.19000000000000003 0.47000000000000025 0.0 0.0
 0.19000000000000003 0.48000000000000026 0.0 0.0
 0.19000000000000003 0.49000000000000027 0.0 0.0
 0.19000000000000003 0.5000000000000002 0.0 0.0
 0.19000000000000003 0.5100000000000002 0.0 0.0
 0.19000000000000003 0.5200000000000002 0.0 0.0
 0.19000000000000003 0.5300000000000002 0.0 0.0
 0.19000000000000003 0.5400000000000003 0.0 0.0
 0.19000000000000003 0.5500000000000003 0.0 0.0
 0.19000000000000003 0.5600000000000003 0.0 0.0
 0.19000000000000003 0.5700000000000003 0.0 0.0
 0.19000000000000003 0.5800000000000003 0.0 0.0
 0.19000000000000003 0.5900000000000003 0.0 0.0
 0.19000000000000003 0.6000000000000003 0.0 0.0
 0.19000000000000003 0.6100000000000003 0.0 0.0
 0.19000000000000003 0.6200000000000003 0.0 0.0
 0.19000000000000003 0.6300000000000003 0.0 0.0
 0.19000000000000003 0.6400000000000003 0.0 0.0
 0.19000000000000003 0.6500000000000004 0.0 0.0
 0.19000000000000003 0.6600000000000004 0.0 0.0
 0.19000000000000003 0.6700000000000004 0.0 0.0
 0.19000000000000003 0.6800000000000004 0.5 0.25
 0.19000000000000003 0.6900000000000004 0.0 0.0
 0.19000000000000003 0.7000000000000004 0.0 0.0
 0.19000000000000003 0.7100000000000004 0.0 0.0
 0.19000000000000003 0.7200000000000004 0.0 0.0
 0.19000000000000003 0.7300000000000004 0.0 0.0
 0.19000000000000003 0.7400000000000004 2.5 6.25
 0.19000000000000003 0.7500000000000004 0.0 0.0
 0.19000000000000003 0.7600000000000005 0.0 0.0
 0.19000000000000003 0.7700000000000005 0.0 0.0
 0.19000000000000003 0.7800000000000005 0.0 0.0
 0.19000000000000003 0.7900000000000005 0.0 0.0
 0.19000000000000003 0.8000000000000005 0.0 0.0
 0.19000000000000003 0.8100000000000005 0.0 0.0
 0.19000000000000003 0.8200000000000005 0.0 0.0
 0.19000000000000003 0.8300000000000005 0.0 0.0
 0.19000000000000003 0.8400000000000005 0.0 0.0
 0.19000000000000003 0.8500000000000005 0.0 0.0
 0.19000000000000003 0.8600000000000005 0.0 0.0
 0.19000000000000003 0.8700000000000006 0.0 0.0
 0.19000000000000003 0.8800000000000006 0.0 0.0
 0.19000000000000003 0.8900000000000006 0.0 0.0
 0.19000000000000003 0.9000000000000006 0.0 0.0
 0.19000000000000003 0.9100000000000006 0.0 0.0
 0.19000000000000003 0.9200000000000006 0.0 0.0
 0.19000000000000003 0.9300000000000006 0.0 0.0
 0.19000000000000003 0.9400000000000006 0.0 0.0
 0.19000000000000003 0.9500000000000006 0.0 0.0
 0.19000000000000003 0.9600000000000006 0.0 0.0
 0.19000000000000003 0.9700000000000006 0.0 0.0
 0.19000000000000003 0.9800000000000006 0.0 0.0
 0.19000000000000003 0.9900000000000007 0.0 0.0
 0.19000000000000003 1.0000000000000007 0.0 0.0

 0.20000000000000004 0.0 0.0 0.0
 0.20000000000000004 0.01 0.0 0.0
 0.20000000000000004 0.02 0.0 0.0
 0.20000000000000004 0.03 0.0 0.0
 0.20000000000000004 0.04 0.0 0.0
 0.20000000000000004 0.05 0.0 0.0
 0.20000000000000004 0.060000000000000005 0.0 0.0
 0.20000000000000004 0.07 0.0 0.0
 0.20000000000000004 0.08 0.0 0.0
 0.20000000000000004 0.09 0.0 0.0
 0.20000000000000004 0.09999999999999999 0.0 0.0
 0.20000000000000004 0.10999999999999999 0.0 0.0
 0.20000000000000004 0.11999999999999998 0.0 0.0
 0.20000000000000004 0.12999999999999998 0.0 0.0
 0.20000000000000004 0.13999999999999999 0.0 0.0
 0.20000000000000004 0.15 0.0 0.0
 0.20000000000000004 0.16 0.0 0.0
 0.20000000000000004 0.17 0.0 0.0
 0.20000000000000004 0.18000000000000002 0.0 0.0
 0.20000000000000004 0.19000000000000003 0.0 0.0
 0.20000000000000004 0.20000000000000004 0.0 0.0
 0.20000000000000004 0.21000000000000005 0.0 0.0
 0.20000000000000004 0.22000000000000006 0.0 0.0
 0.20000000000000004 0.23000000000000007 0.0 0.0
 0.20000000000000004 0.24000000000000007 0.0 0.0
 0.20000000000000004 0.25000000000000006 0.0 0.0
 0.20000000000000004 0.26000000000000006 0.0 0.0
 0.20000000000000004 0.2700000000000001 0.0 0.0
 0.20000000000000004 0.2800000000000001 0.0 0.0
 0.20000000000000004 0.2900000000000001 0.0 0.0
 0.20000000000000004 0.3000000000000001 0.0 0.0
 0.20000000000000004 0.3100000000000001 0.0 0.0
 0.20000000000000004 0.3200000000000001 0.0 0.0
 0.20000000000000004 0.3300000000000001 0.0 0.0
 0.20000000000000004 0.34000000000000014 0.0 0.0
 0.20000000000000004 0.35000000000000014 0.0 0.0
 0.20000000000000004 0.36000000000000015 0.0 0.0
 0.20000000000000004 0.37000000000000016 0.0 0.0
 0.20000000000000004 0.38000000000000017 0.0 0.0
 0.20000000000000004 0.3900000000000002 0.0 0.0
 0.20000000000000004 0.4000000000000002 0.0 0.0
 0.20000000000000004 0.4100000000000002 0.0 0.0
 0.20000000000000004 0.4200000000000002 0.0 0.0
 0.20000000000000004 0.4300000000000002 0.0 0.0
 0.20000000000000004 0.4400000000000002 0.0 0.0
 0.20000000000000004 0.45000000000000023 0.0 0.0
 0.20000000000000004 0.46000000000000024 0.0 0.0
 0.20000000000000004 0.47000000000000025 0.0 0.0
 0.20000000000000004 0.48000000000000026 0.0 0.0
 0.20000000000000004 0.49000000000000027 0.0 0.0
 0.20000000000000004 0.5000000000000002 0.0 0.0
 0.20000000000000004 0.5100000000000002 0.0 0.0
 0.20000000000000004 0.5200000000000002 0.0 0.0
 0.20000000000000004 0.5300000000000002 0.0 0.0
 0.20000000000000004 0.5400000000000003 0.0 0.0
 0.20000000000000004 0.5500000000000003 0.0 0.0
 0.20000000000000004 0.5600000000000003 0.0 0.0
 0.20000000000000004 0.5700000000000003 0.0 0.0
 0.20000000000000004 0.5800000000000003 0.0 0.0
 0.20000000000000004 0.5900000000000003 0.0 0.0
 0.20000000000000004 0.6000000000000003 0.0 0.0
 0.20000000000000004 0.6100000000000003 0.0 0.0
 0.20000000000000004 0.6200000000000003 0.0 0.0
 0.20000000000000004 0.6300000000000003 0.0 0.0
 0.20000000000000004 0.6400000000000003 0.0 0.0
 0.20000000000000004 0.6500000000000004 0.0 0.0
 0.20000000000000004 0.6600000000000004 0.0 0.0
 0.20000000000000004 0.6700000000000004 0.0 0.0
 0.20000000000000004 0.6800000000000004 0.0 0.0
 0.20000000000000004 0.6900000000000004 0.0 0.0
 0.20000000000000004 0.7000000000000004 0.0 0.0
 0.20000000000000004 0.7100000000000004 0.0 0.0
 0.20000000000000004 0.7200000000000004 0.0 0.0
 0.20000000000000004 0.7300000000000004 0.0 0.0
 0.20000000000000004 0.7400000000000004 0.0 0.0
 0.20000000000000004 0.7500000000000004 0.0 0.0
 0.20000000000000004 0.7600000000000005 0.0 0.0
 0.20000000000000004 0.7700000000000005 0.0 0.0
 0.20000000000000004 0.7800000000000005 0.0 0.0
 0.20000000000000004 0.7900000000000005 0.0 0.0
 0.20000000000000004 0.8000000000000005 0.0 0.0
 0.20000000000000004 0.8100000000000005 2.0 4.0
 0.20000000000000004 0.8200000000000005 0.0 0.0
 0.20000000000000004 0.8300000000000005 0.0 0.0
 0.20000000000000004 0.8400000000000005 0.0 0.0
 0.20000000000000004 0.8500000000000005 0.0 0.0
 0.20000000000000004 0.8600000000000005 0.0 0.0
 0.20000000000000004 0.8700000000000006 0.0 0.0
 0.20000000000000004 0.8800000000000006 0.0 0.0
 0.20000000000000004 0.8900000000000006 0.0 0.0
 0.20000000000000004 0.9000000000000006 0.0 0.0
 0.20000000000000004 0.9100000000000006 0.0 0.0
 0.20000000000000004 0.9200000000000006 0.0 0.0
 0.20000000000000004 0.9300000000000006 0.0 0.0
 0.20000000000000004 0.9400000000000006 0.0 0.0
 0.20000000000000004 0.9500000000000006 2.5 6.25
 0.20000000000000004 0.9600000000000006 0.0 0.0
 0.20000000000000004 0.9700000000000006 0.0 0.0
 0.20000000000000004 0.9800000000000006 1.0 1.0
 0.20000000000000004 0.9900000000000007 0.0 0.0
 0.20000000000000004 1.0000000000000007 3.6666666666666665 4.222222222222225

 0.21000000000000005 0.0 0.0 0.0
 0.21000000000000005 0.01 0.0 0.0
 0.21000000000000005 0.02 0.0 0.0
 0.21000000000000005 0.03 0.0 0.0
 0.21000000000000005 0.04 0.0 0.0
 0.21000000000000005 0.05 0.0 0.0
 0.21000000000000005 0.060000000000000005 0.0 0.0
 0.21000000000000005 0.07 0.0 0.0
 0.21000000000000005 0.08 0.0 0.0
 0.21000000000000005 0.09 0.0 0.0
 0.21000000000000005 0.09999999999999999 0.0 0.0
 0.21000000000000005 0.10999999999999999 0.0 0.0
 0.21000000000000005 0.11999999999999998 0.0 0.0
 0.21000000000000005 0.12999999999999998 0.0 0.0
 0.21000000000000005 0.13999999999999999 0.0 0.0
 0.21000000000000005 0.15 0.0 0.0
 0.21000000000000005 0.16 0.0 0.0
 0.21000000000000005 0.17 0.0 0.0
 0.21000000000000005 0.18000000000000002 0.0 0.0
 0.21000000000000005 0.19000000000000003 0.0 0.0
 0.21000000000000005 0.20000000000000004 0.0 0.0
 0.21000000000000005 0.21000000000000005 0.0 0.0
 0.21000000000000005 0.22000000000000006 0.0 0.0
 0.21000000000000005 0.23000000000000007 0.0 0.0
 0.21000000000000005 0.24000000000000007 0.0 0.0
 0.21000000000000005 0.25000000000000006 0.0 0.0
 0.21000000000000005 0.26000000000000006 0.0 0.0
 0.21000000000000005 0.2700000000000001 0.0 0.0
 0.21000000000000005 0.2800000000000001 0.0 0.0
 0.21000000000000005 0.2900000000000001 0.0 0.0
 0.21000000000000005 0.3000000000000001 0.0 0.0
 0.21000000000000005 0.3100000000000001 0.0 0.0
 0.21000000000000005 0.3200000000000001 0.0 0.0
 0.21000000000000005 0.3300000000000001 0.0 0.0
 0.21000000000000005 0.34000000000000014 0.0 0.0
 0.21000000000000005 0.35000000000000014 0.0 0.0
 0.21000000000000005 0.36000000000000015 0.0 0.0
 0.21000000000000005 0.37000000000000016 0.0 0.0
 0.21000000000000005 0.38000000000000017 0.0 0.0
 0.21000000000000005 0.3900000000000002 0.0 0.0
 0.21000000000000005 0.4000000000000002 0.0 0.0
 0.21000000000000005 0.4100000000000002 0.0 0.0
 0.21000000000000005 0.4200000000000002 1.3333333333333333 1.5555555555555558
 0.21000000000000005 0.4300000000000002 0.0 0.0
 0.21000000000000005 0.4400000000000002 0.0 0.0
 0.21000000000000005 0.45000000000000023 0.0 0.0
 0.21000000000000005 0.46000000000000024 0.0 0.0
 0.21000000000000005 0.47000000000000025 0.0 0.0
 0.21000000000000005 0.48000000000000026 0.0 0.0
 0.21000000000000005 0.49000000000000027 0.0 0.0
 0.21000000000000005 0.5000000000000002 0.0 0.0
 0.21000000000000005 0.5100000000000002 0.0 0.0
 0.21000000000000005 0.5200000000000002 0.0 0.0
 0.21000000000000005 0.5300000000000002 5.25 47.1875
 0.21000000000000005 0.5400000000000003 0.0 0.0
 0.21000000000000005 0.5500000000000003 0.0 0.0
 0.21000000000000005 0.5600000000000003 0.0 0.0
 0.21000000000000005 0.5700000000000003 0.0 0.0
 0.21000000000000005 0.5800000000000003 0.0 0.0
 0.21000000000000005 0.5900000000000003 0.0 0.0
 0.21000000000000005 0.6000000000000003 0.0 0.0
 0.21000000000000005 0.6100000000000003 0.0 0.0
 0.21000000000000005 0.6200000000000003 0.0 0.0
 0.21000000000000005 0.6300000000000003 0.0 0.0
 0.21000000000000005 0.6400000000000003 0.0 0.0
 0.21000000000000005 0.6500000000000004 0.0 0.0
 0.21000000000000005 0.6600000000000004 0.0 0.0
 0.21000000000000005 0.6700000000000004 3.0 9.0
 0.21000000000000005 0.6800000000000004 0.0 0.0
 0.21000000000000005 0.6900000000000004 0.0 0.0
 0.21000000000000005 0.7000000000000004 0.0 0.0
 0.21000000000000005 0.7100000000000004 0.0 0.0
 0.21000000000000005 0.7200000000000004 0.0 0.0
 0.21000000000000005 0.7300000000000004 0.0 0.0
 0.21000000000000005 0.7400000000000004 0.0 0.0
 0.21000000000000005 0.7500000000000004 0.0 0.0
 0.21000000000000005 0.7600000000000005 0.0 0.0
 0.21000000000000005 0.7700000000000005 0.0 0.0
 0.21000000000000005 0.7800000000000005 0.0 0.0
 0.21000000000000005 0.7900000000000005 0.0 0.0
 0.21000000000000005 0.8000000000000005 0.0 0.0
 0.21000000000000005 0.8100000000000005 0.0 0.0
 0.21000000000000005 0.8200000000000005 5.666666666666667 16.22222222222222
 0.21000000000000005 0.8300000000000005 0.0 0.0
 0.21000000000000005 0.8400000000000005 0.0 0.0
 0.21000000000000005 0.8500000000000005 0.0 0.0
 0.21000000000000005 0.8600000000000005 0.0 0.0
 0.21000000000000005 0.8700000000000006 0.0 0.0
 0.21000000000000005 0.8800000000000006 0.0 0.0
 0.21000000000000005 0.8900000000000006 0.0 0.0
 0.21000000000000005 0.9000000000000006 2.0 4.0
 0.21000000000000005 0.9100000000000006 0.0 0.0
 0.21000000000000005 0.9200000000000006 0.0 0.0
 0.21000000000000005 0.9300000000000006 0.0 0.0
 0.21000000000000005 0.9400000000000006 8.25 63.1875
 0.21000000000000005 0.9500000000000006 0.0 0.0
 0.21000000000000005 0.9600000000000006 0.0 0.0
 0.21000000000000005 0.9700000000000006 0.0 0.0
 0.21000000000000005 0.9800000000000006 0.0 0.0
 0.21000000000000005 0.9900000000000007 4.75 11.6875
 0.21000000000000005 1.0000000000000007 0.0 0.0

 0.22000000000000006 0.0 0.0 0.0
 0.22000000000000006 0.01 0.0 0.0
 0.22000000000000006 0.02 0.0 0.0
 0.22000000000000006 0.03 0.0 0.0
 0.22000000000000006 0.04 0.0 0.0
 0.22000000000000006 0.05 0.0 0.0
 0.22000000000000006 0.060000000000000005 0.0 0.0
 0.22000000000000006 0.07 0.0 0.0
 0.22000000000000006 0.08 0.0 0.0
 0.22000000000000006 0.09 0.0 0.0
 0.22000000000000006 0.09999999999999999 0.0 0.0
 0.22000000000000006 0.10999999999999999 0.0 0.0
 0.22000000000000006 0.11999999999999998 0.0 0.0
 0.22000000000000006 0.12999999999999998 0.0 0.0
 0.22000000000000006 0.13999999999999999 0.0 0.0
 0.22000000000000006 0.15 0.0 0.0
 0.22000000000000006 0.16 0.0 0.0
